ServTransCode,Items
SRV001912080003,"Oli Mesin Matic, Grease Cvt, Handel Variasi, Air Radiator"
SRV001912120004,"Oli Gardan, Oli Mesin Matic, Kampas Rem Belakang"
SRV001912130003,"Busi, Filter Udara, Filter Fuel Pump"
SRV001912230002,"Cangklong Busi, Filter Udara"
SRV001912280002,"Oli Mesin Matic, Grease Cvt, Minuman"
SRV001912300005,"Seal Pully Belakang, Oli Gardan, Oli Mesin Matic, Baut, Seal Pully Depan, Grease Cvt, Bearing Cvt"
SRV001912310007,Oli Mesin Matic
SRV001912310008,"Air Radiator, Oli Gardan, Oli Mesin Matic, Busi, Baut, Ring 10, Baut"
SRV011912010008,"Oli Mesin Matic, Minuman"
SRV011912030010,"Oli Mesin Bebek/Sport, Mika Lampu Depan, Spi Plastik Tameng Kecil, Spakbor Depan"
SRV011912060001,"Oli Gardan, Oli Mesin Matic, Roller, Grease Cvt, Seal Pully Depan, Bearing Cvt, Rumah Roller, Filter Udara"
SRV011912070027,Oli Mesin Matic
SRV011912070029,Oli Mesin Matic
SRV011912080017,"Oli Mesin Matic, Roller, Grease Cvt, Karet Rumah Roller, Bohlam Sen, Oli Gardan"
SRV011912130016,"Grease Cvt, Ring 12, Spi Plastik Tameng Kecil, Filter Udara"
SRV011912140015,"Aki, Busi"
SRV011912160010,Oli Mesin Bebek/Sport
SRV011912200013,"Oli Gardan, Oli Mesin Matic, Kampas Rem Belakang, Filter Udara"
SRV011912230004,"Roller, V-Belt"
SRV011912230021,Filter Udara
SRV011912260006,"Oli Gardan, Oli Mesin Matic, Roller, V-Belt, Grease Cvt"
SRV011912270009,"Oli Mesin Matic, Kabel Kilometer, Cangklong Busi, Komstir"
SRV011912280007,"Oli Mesin Matic, Minuman, Oli Gardan, Eskrim"
SRV011912280021,"Oli Gardan, Oli Mesin Matic, Roller Beat"
SRV011912290013,Shock Belakang
SRV011912290025,"Oli Gardan, Oli Mesin Matic, Eskrim"
SRV011912300013,"Air Radiator, Oli Mesin Bebek/Sport, Bohlam Depan, Bohlam Stop, Selang Bensin, Kabel Tis Biji Pendek, Kabel Standar Warna"
SRV011912310025,"Oli Gardan, Oli Mesin Matic, Grease Cvt"
SRV021912070006,"Oli Gardan, Oli Mesin Matic, Ban Motor Matic, Kampas Rem Depan, Minuman, Minyak Rem"
SRV031912160002,"Oli Gardan, Oli Mesin Matic, Kabel Kilometer"
SRV031912180001,"Seal Shock Bebek, Oli Shock, As Shock, Filter Udara"
SRV031912240002,"Oli Mesin Matic, Grease Cvt, Baut, Filter Udara"
SRV061912120003,"Oli Gardan, Oli Mesin Matic, Kampas Rem Depan"
SRV061912170002,"Oli Mesin Matic, Oli Gardan"
SRV061912180008,"Aki, Bohlam Sen, Bohlam Depan"
SRV061912290005,"Oli Gardan, Oli Mesin Matic"
